,GAT Actual Boiling Point,GAT Predicted Boiling Point
0,365.19999245189126,374.1729103182256
1,511.1499821224808,541.6294434928894
2,313.15000418432055,320.0695388871431
3,608.1500108666718,604.487641607076
4,375.15000336103134,357.8416649331897
5,361.2499991291016,362.55232131063934
6,285.14999513424925,286.5162094344198
7,370.2500072537362,367.9249548017978
8,587.1499858242273,596.4377092865109
9,531.7500059925019,513.2843074728548
10,523.9499831302463,532.7576759777962
11,394.150004286468,403.0255323091149
12,525.1499866475165,526.9498823940754
13,497.6500155727565,517.6415309049189
14,507.3500074942409,511.88656697586174
15,571.1500119468569,541.0604020294547
16,559.1500132839382,566.1367442406714
17,438.2499875070154,437.59222727313636
18,630.6500037959217,631.9421214933693
19,493.15000238299365,470.2789240287244
20,479.14999785795806,500.16396963715545
21,392.64999988988035,377.36815517105157
22,474.14998320266596,500.9984007064998
23,494.15000531405207,511.8011705955863
24,427.1499914820492,455.67512072771785
25,563.9499908432365,546.269836794734
26,418.15000161230563,404.9466770419478
27,410.7500164322555,417.1836607003212
28,431.65000467181204,433.22481761187316
29,577.1499930234253,568.3018838471174
30,391.14999549329275,408.11959616303443
31,544.1500058278441,536.3695522087812
32,563.1499884983897,536.2608260777592
33,438.1499872139096,414.6782134151458
34,406.650004414916,398.3978444114327
35,560.1500162149965,579.4348116955161
36,687.1499868518114,818.3753440976142
37,520.1500085020065,518.5238628083467
38,519.1500055709481,504.8241877506673
39,410.15001467362043,438.43100300654766
40,501.14998932167885,519.7783024106919
41,496.1500111761689,511.2770361641049
42,557.6500088873505,560.360969735831
43,429.6499988096952,430.1824574714899
44,527.1499925096333,539.799500195682
45,386.65000055842097,384.8040842315554
46,563.1499884983897,555.4789181864262
47,471.65001238480204,466.04517667964103
48,533.1500100959837,537.1608287157118
49,472.6500153158605,554.3100210034846
50,555.1500015597045,514.6140302458406
51,392.14999842435117,386.2280935167521
52,682.1500087063014,735.1565532642603
53,537.1499853104353,532.4214208848774
54,283.74999103076755,288.24056644186373
55,483.15000958219173,469.6459904466569
56,809.1499793431162,891.1145131230353
57,362.4500026463717,361.5027015857398
58,492.65000091746447,498.5160641133785
59,540.1499941036104,566.5279830653965
60,529.1499983717501,538.3916099792718
61,469.1500050571561,461.1189848037064
62,412.1499840259552,403.1465622366964
63,621.9999966971576,601.7301672962308
64,498.1500170382857,506.8574175144732
65,553.1499956975877,549.9281169587373
66,540.1499941036104,564.5996093957126
67,633.1500111235678,610.705914670676
68,626.5499917785824,656.5206893357633
69,354.749998332113,373.649652121514
70,565.1499943605065,548.2260309183597
71,469.1500050571561,471.1224095240235
72,793.150005465746,831.297178248167
73,535.1500159581005,589.9955582392215
74,406.1500029493868,400.2864954382181
75,427.1499914820492,417.4528108137846
76,494.65000677958125,509.1543939439952
77,548.1500175520778,560.9327129231393
78,512.1499850535392,520.6570563554764
79,490.14999358981845,502.66047202572224
80,458.65001079082487,464.49413160771127
81,314.1500071153789,302.23874547779553
82,519.6500070364773,538.743418239355
83,375.25000365413723,406.02046624258156
84,408.25000910460943,416.6232355454564
85,475.3499867199361,447.8861968392133
86,464.14999040186404,449.63618371367454
87,598.1500180658697,549.9809101036191
88,457.1500063942372,449.9002589674294
89,450.1499858768284,436.0095282201469
90,425.6499870854616,438.41683721110223
91,386.34999967910346,387.19468999721107
92,374.65000189550216,383.33299558237195
93,320.35000703305,320.70318440996107
94,516.1499967777729,556.338212417364
95,279.9499981476366,285.26600496679544
96,329.1499963165819,328.2705669408291
97,598.1500180658697,522.2043044100701
98,463.1499874708056,478.25083494499324
99,508.85001189082857,501.44790914341803
100,525.1499866475165,509.5575714674592
101,368.1500010985136,370.2844359782338
102,409.150011742562,404.8042158722877
103,452.14999173894523,451.00942614689467
104,329.94999866142865,344.69772352337833
105,300.6500040558725,307.1366970372944
106,473.1500167813897,473.33008302658794
107,408.1500088115036,430.19038009420035
108,466.1499962639809,447.86429096996784
109,553.649997163117,581.8134239977597
110,439.149990144968,446.9140508718788
111,521.150011433065,513.0430873426794
112,505.65000251144164,512.5443637195228
113,560.1500162149965,588.072186409682
114,428.1499944131076,412.20708532512185
115,371.64999310232696,375.15420198597013
116,449.6499844112992,459.16457965940236
117,532.1500071649252,517.2052024993301
118,453.1499946700036,427.3017991559207
119,275.350002919659,267.2903772519528
120,485.1500154443085,485.99156592115753
121,493.15000238299365,480.7721274755895
122,429.14999734416597,441.0603644920885
123,484.1500125132501,467.663764848411
124,376.15000629208976,375.40075254432855
125,366.64999670192594,375.7554633320867
126,363.1500046981126,366.41308472603555
127,417.1499986812472,401.5646663989126
128,611.1499831500649,592.8639492680132
129,557.6500088873505,542.8543101717531
130,370.1500069606304,358.36877491191024
131,357.45000624597066,363.7257639614492
132,470.15000798821444,460.37250579938285
133,480.1500007890164,490.42535036623474
134,459.15001225635405,476.3533485509455
135,613.1499890121818,544.1466469278931
136,519.6500070364773,539.4671151396632
137,547.6500160865486,549.7300879007578
138,477.64999346137046,487.7512278878689
139,380.14999976143235,389.71998034894466
140,525.1499866475165,558.5424174906314
141,547.9500169658661,521.1792922782898
142,467.6500006605684,473.7894856144488
143,463.6499889363348,443.33068878069514
144,486.1499818655848,488.88303113222116
145,636.1499834069609,547.5932433754206
146,344.4500046519935,360.7694391225278
147,435.1500149305164,425.96849842429157
148,494.65000677958125,483.9988255056739
149,403.14999415621156,407.5838516208529
150,487.14998479664325,474.6013536384702
151,492.65000091746447,489.33571592018006
152,485.7500172029435,510.6407436820864
153,338.15000444121654,354.3513297667354
154,497.6500155727565,515.1056709712743
155,375.35000394724307,386.9984681734443
156,785.1499820172787,962.5136271071433
157,470.3500085744261,469.01017259180543
158,462.64998600527645,454.2563505962491
159,496.1500111761689,516.7824922424554
160,389.64999109670515,371.91315561152993
161,357.6500068321824,367.29264188602565
162,396.5500113210082,401.9449887987971
163,461.1500181184709,446.7302606289088
164,419.95000688821074,425.2769666419923
165,475.3499867199361,464.6961767417192
166,454.64999906659125,444.0186060945689
167,307.25000514596695,321.6946257971226
168,595.1500092726945,555.863731289506
169,485.6500169098377,497.0093054071068
170,496.1500111761689,487.7543677291274
171,517.1499997088313,566.6461652299762
172,437.14998428285116,424.3475006099045
173,533.1500100959837,532.974032946378
174,510.15001570120455,472.24395351961255
175,506.65000544250006,491.54915796831244
176,543.1500028967857,508.3033144140243
177,521.150011433065,538.3620370557903
178,395.6500086830556,407.9833781661093
179,322.4499949333816,307.5094071476161
180,386.4499999722093,380.1635448905825
181,315.6499932570755,296.1872673536092
182,288.95000627227125,301.7446220871806
183,443.1500018692016,414.8990245771408
184,483.15000958219173,501.68401790410275
185,443.1500018692016,445.1991133882105
186,690.1499956449866,714.6731781479716
187,467.6500006605684,465.26543726384637
188,460.1500151874125,437.8258168588578
189,432.1500061373412,430.77030147269363
190,445.6500091968477,450.1075980198383
191,535.1500159581005,512.6882122609019
192,585.1500164718926,572.5552734589577
193,486.1499818655848,476.49124599784614
194,329.94999866142865,356.30126246273517
195,444.15000480026004,475.68255432486535
196,378.64999536484476,372.79054043948645
